user_id,education_level,field_of_study,analytical_score,creative_score,social_score,linguistic_score,hands_on_score,simulation_id,simulation_categoria,simulation_nivel_dificultad,simulation_duracion_horas,simulation_industria,label,engagement_probability,source_dataset,sample_type,education_level_encoded,field_of_study_encoded,simulation_categoria_encoded,simulation_nivel_dificultad_encoded,simulation_industria_encoded
ai_36,Master's,Computer Science,94,49,42,48,62,sim_content_strategist,Business,Beginner,3.3,Business & Management,0,0.2895992814829701,ai_career,negative,2,3,0,1,0
ai_36,Master's,Computer Science,94,49,42,48,62,sim_cybersecurity_specialist,Other,Advanced,12.3,General,0,0.2927723877059769,ai_career,negative,2,3,6,0,4
ai_37,Bachelor's,Business,56,50,72,78,44,sim_business_analyst,Business,Upper-Intermediate,11.1,Business & Management,1,0.773,ai_career,positive,0,1,0,4,0
ai_37,Bachelor's,Business,56,50,72,78,44,sim_machine_learning_engineer,STEM,Lower-Intermediate,7.2,Technology,0,0.33538608771560807,ai_career,negative,0,1,7,3,7
ai_37,Bachelor's,Business,56,50,72,78,44,sim_data_scientist,STEM,Upper-Intermediate,9.9,Technology,0,0.13456686889479186,ai_career,negative,0,1,7,4,7
ai_38,Bachelor's,Computer Science,70,48,39,51,83,sim_automation_engineer,STEM,Advanced,12.9,Technology,1,0.63,ai_career,positive,0,3,7,0,7
ai_38,Bachelor's,Computer Science,70,48,39,51,83,sim_actuary,Finance,Advanced,13.1,Finance & Banking,0,0.2568652874946183,ai_career,negative,0,3,3,0,3
ai_38,Bachelor's,Computer Science,70,48,39,51,83,sim_chief_financial_officer,Finance,Upper-Intermediate,10.7,Finance & Banking,0,0.38782952088129463,ai_career,negative,0,3,3,4,3
ai_39,Bachelor's,Design,49,88,69,71,81,sim_ux_designer,Design,Beginner,3.5,Creative & Design,1,0.616,ai_career,positive,0,4,1,1,1
ai_39,Bachelor's,Design,49,88,69,71,81,sim_sales_assistant,Other,Beginner,4.1,General,0,0.2084981176528297,ai_career,negative,0,4,6,1,4
ai_39,Bachelor's,Design,49,88,69,71,81,"sim_middle,_higher_school_teacher_and_professors",Education,Lower-Intermediate,5.0,Education,0,0.1884778439266273,ai_career,negative,0,4,2,3,2
ai_40,Master's,Computer Science,95,49,41,46,61,sim_machine_learning_engineer,STEM,Lower-Intermediate,7.2,Technology,1,0.831,ai_career,positive,2,3,7,3,7
ai_40,Master's,Computer Science,95,49,41,46,61,sim_database_designer,STEM,Advanced,12.3,Technology,0,0.28036238968142735,ai_career,negative,2,3,7,0,7
ai_40,Master's,Computer Science,95,49,41,46,61,sim_artist,Design,Advanced,14.9,Creative & Design,0,0.16633582736959104,ai_career,negative,2,3,1,0,1
ai_41,Bachelor's,General Studies,42,56,44,56,56,sim_digital_marketer,Other,Beginner,4.3,General,1,0.759,ai_career,positive,0,8,6,1,4
ai_41,Bachelor's,General Studies,42,56,44,56,56,sim_cybersecurity_analyst,STEM,Lower-Intermediate,5.2,Technology,0,0.2667835469570947,ai_career,negative,0,8,7,3,7
ai_41,Bachelor's,General Studies,42,56,44,56,56,sim_marketing_manager,Business,Advanced,12.3,Business & Management,0,0.1466956032572922,ai_career,negative,0,8,0,0,0
ai_42,Master's,Finance,91,26,41,54,50,sim_financial_analyst,Finance,Advanced,13.7,Finance & Banking,1,0.8014285714285714,ai_career,positive,2,7,3,0,3
ai_42,Master's,Finance,91,26,41,54,50,sim_consultant,Business,Upper-Intermediate,12.0,Business & Management,0,0.2739380382093717,ai_career,negative,2,7,0,4,0
ai_42,Master's,Finance,91,26,41,54,50,"sim_middle,_higher_school_teacher_and_professors",Education,Lower-Intermediate,5.0,Education,0,0.2807137550935533,ai_career,negative,2,7,2,3,2
ai_43,Bachelor's,Business,50,63,66,90,51,sim_content_strategist,Business,Beginner,3.3,Business & Management,1,0.602,ai_career,positive,0,1,0,1,0
ai_43,Bachelor's,Business,50,63,66,90,51,sim_clerk,Finance,Beginner,3.7,Finance & Banking,0,0.22552014370367887,ai_career,negative,0,1,3,1,3
ai_43,Bachelor's,Business,50,63,66,90,51,sim_actuary,Finance,Advanced,13.1,Finance & Banking,0,0.21482392763160657,ai_career,negative,0,1,3,0,3
ai_44,Bachelor's,Computer Science,95,35,52,43,82,sim_mobile_developer,STEM,Expert,16.9,Technology,1,0.616,ai_career,positive,0,3,7,2,7
ai_44,Bachelor's,Computer Science,95,35,52,43,82,"sim_middle,_higher_school_teacher_and_professors",Education,Lower-Intermediate,5.0,Education,0,0.1736374835201348,ai_career,negative,0,3,2,3,2
ai_44,Bachelor's,Computer Science,95,35,52,43,82,sim_clerk,Finance,Beginner,3.7,Finance & Banking,0,0.19927669235007833,ai_career,negative,0,3,3,1,3
ai_45,Master's,Computer Science,80,46,60,45,83,sim_ux_researcher,STEM,Advanced,14.4,Technology,1,0.787,ai_career,positive,2,3,7,0,7
ai_45,Master's,Computer Science,80,46,60,45,83,sim_marketing,Business,Beginner,3.0,Business & Management,0,0.24950379015740903,ai_career,negative,2,3,0,1,0
ai_45,Master's,Computer Science,80,46,60,45,83,sim_fashion_designer,Design,Beginner,5.0,Creative & Design,0,0.17429767030873033,ai_career,negative,2,3,1,1,1
ai_46,Bachelor's,General Studies,44,59,41,45,50,sim_cybersecurity_specialist,Other,Advanced,12.3,General,1,0.63,ai_career,positive,0,8,6,0,4
ai_46,Bachelor's,General Studies,44,59,41,45,50,sim_automation_engineer,STEM,Advanced,12.9,Technology,0,0.3348503390115588,ai_career,negative,0,8,7,0,7
ai_46,Bachelor's,General Studies,44,59,41,45,50,sim_data_engineer,STEM,Lower-Intermediate,6.0,Technology,0,0.31271057239773153,ai_career,negative,0,8,7,3,7
ai_47,Bachelor's,Computer Science,85,45,30,48,87,sim_data_analyst,STEM,Lower-Intermediate,5.1,Technology,1,0.7889999999999999,ai_career,positive,0,3,7,3,7
ai_47,Bachelor's,Computer Science,85,45,30,48,87,sim_language_teacher,Education,Lower-Intermediate,6.6,Education,0,0.18079176014379866,ai_career,negative,0,3,2,3,2
ai_47,Bachelor's,Computer Science,85,45,30,48,87,sim_economist,Finance,Expert,19.8,Finance & Banking,0,0.1292305489304644,ai_career,negative,0,3,3,2,3
ai_49,Bachelor's,Design,38,98,75,57,83,sim_graphic_designer,Design,Upper-Intermediate,9.6,Creative & Design,1,0.9019999999999999,ai_career,positive,0,4,1,4,1
ai_49,Bachelor's,Design,38,98,75,57,83,sim_psychologist,Health,Upper-Intermediate,8.7,Healthcare,0,0.10005401169518885,ai_career,negative,0,4,4,4,5
ai_49,Bachelor's,Design,38,98,75,57,83,sim_biostatistician,Other,Beginner,3.7,General,0,0.2790156557144467,ai_career,negative,0,4,6,1,4
ai_50,Bachelor's,Computer Science,89,36,49,48,60,sim_data_analyst,STEM,Lower-Intermediate,5.1,Technology,1,0.69,ai_career,positive,0,3,7,3,7
ai_50,Bachelor's,Computer Science,89,36,49,48,60,sim_database_designer,STEM,Advanced,12.3,Technology,0,0.1634091239360947,ai_career,negative,0,3,7,0,7
ai_50,Bachelor's,Computer Science,89,36,49,48,60,sim_biostatistician,Other,Beginner,3.7,General,0,0.10377474103046175,ai_career,negative,0,3,6,1,4
ai_51,Bachelor's,Computer Science,77,36,47,47,60,sim_backend_developer,STEM,Beginner,4.2,Technology,1,0.7944285714285714,ai_career,positive,0,3,7,1,7
ai_51,Bachelor's,Computer Science,77,36,47,47,60,sim_chartered_accountant,Finance,Beginner,4.8,Finance & Banking,0,0.2077255811776068,ai_career,negative,0,3,3,1,3
ai_51,Bachelor's,Computer Science,77,36,47,47,60,sim_marketing,Business,Beginner,3.0,Business & Management,0,0.38859953869523,ai_career,negative,0,3,0,1,0
ai_52,Master's,Computer Science,80,47,52,49,62,sim_machine_learning_engineer,STEM,Lower-Intermediate,7.2,Technology,1,0.831,ai_career,positive,2,3,7,3,7
ai_52,Master's,Computer Science,80,47,52,49,62,sim_physician,Health,Beginner,4.2,Healthcare,0,0.30698284228894523,ai_career,negative,2,3,4,1,5
ai_52,Master's,Computer Science,80,47,52,49,62,sim_internal_auditor,Finance,Advanced,16.0,Finance & Banking,0,0.35732911087673747,ai_career,negative,2,3,3,0,3
ai_53,Bachelor's,Computer Science,76,45,55,55,84,sim_front-end_developer,STEM,Advanced,13.3,Technology,1,0.595,ai_career,positive,0,3,7,0,7
ai_53,Bachelor's,Computer Science,76,45,55,55,84,sim_actuary,Finance,Advanced,13.1,Finance & Banking,0,0.14342172947821902,ai_career,negative,0,3,3,0,3
ai_53,Bachelor's,Computer Science,76,45,55,55,84,sim_lawyer,Legal,Expert,16.6,Legal Services,0,0.12198644638583092,ai_career,negative,0,3,5,2,6
ai_54,Master's,General Studies,59,56,41,40,55,sim_digital_marketer,Other,Beginner,4.3,General,1,0.759,ai_career,positive,2,8,6,1,4
ai_54,Master's,General Studies,59,56,41,40,55,"sim_para_medical_(physiotherapy,_occupational_theropy,_audio_and_speech_language_theropy,_nursing)",Health,Expert,19.1,Healthcare,0,0.10345892905291675,ai_career,negative,2,8,4,2,5
ai_54,Master's,General Studies,59,56,41,40,55,sim_chartered_accountant,Finance,Beginner,4.8,Finance & Banking,0,0.3866986870058462,ai_career,negative,2,8,3,1,3
